date,time,Name of State / UT,Total Confirmed cases (Indian National),Cured/Discharged/Migrated,Death
21 April 2020, 08:00 ,Andaman and Nicobar Islands,16,11,0
21 April 2020, 08:00 ,Andhra Pradesh,722,92,20
21 April 2020, 08:00 ,Arunachal Pradesh,1,0,0
21 April 2020, 08:00 ,Assam,35,19,1
21 April 2020, 08:00 ,Bihar,113,42,2
21 April 2020, 08:00 ,Chandigarh,26,13,0
21 April 2020, 08:00 ,Chhattisgarh,36,25,0
21 April 2020, 08:00 ,Delhi,2081,431,47
21 April 2020, 08:00 ,Goa,7,7,0
21 April 2020, 08:00 ,Gujarat,1939,131,71
21 April 2020, 08:00 ,Haryana,254,127,3
21 April 2020, 08:00 ,Himachal Pradesh,39,16,1
21 April 2020, 08:00 ,Jammu and Kashmir,368,71,5
21 April 2020, 08:00 ,Jharkhand,46,0,2
21 April 2020, 08:00 ,Karnataka,408,112,16
21 April 2020, 08:00 ,Kerala,408,291,3
21 April 2020, 08:00 ,Ladakh,18,14,0
21 April 2020, 08:00 ,Madhya Pradesh,1485,127,74
21 April 2020, 08:00 ,Maharashtra,4666,572,232
21 April 2020, 08:00 ,Manipur,2,2,0
21 April 2020, 08:00 ,Meghalaya,11,0,1
21 April 2020, 08:00 ,Mizoram,1,0,0
21 April 2020, 08:00 ,Nagaland,0,0,0
21 April 2020, 08:00 ,Odisha,74,24,1
21 April 2020, 08:00 ,Puducherry,7,3,0
21 April 2020, 08:00 ,Punjab,245,38,16
21 April 2020, 08:00 ,Rajasthan,1576,205,25
21 April 2020, 08:00 ,Tamil Nadu,1520,457,17
21 April 2020, 08:00 ,Telengana,873,190,23
21 April 2020, 08:00 ,Tripura,2,1,0
21 April 2020, 08:00 ,Uttarakhand,46,18,0
21 April 2020, 08:00 ,Uttar Pradesh,1184,140,18
21 April 2020, 08:00 ,West Bengal,392,73,12
