date,time,Name of State / UT,Total Confirmed cases (Indian National),Cured/Discharged/Migrated,Death
21 April 2020, 17:00 ,Andaman and Nicobar Islands,16,11,0
21 April 2020, 17:00 ,Andhra Pradesh,757,96,22
21 April 2020, 17:00 ,Arunachal Pradesh,1,1,0
21 April 2020, 17:00 ,Assam,35,19,1
21 April 2020, 17:00 ,Bihar,114,42,2
21 April 2020, 17:00 ,Chandigarh,26,13,0
21 April 2020, 17:00 ,Chhattisgarh,36,25,0
21 April 2020, 17:00 ,Delhi,2081,431,47
21 April 2020, 17:00 ,Goa,7,7,0
21 April 2020, 17:00 ,Gujarat,2066,131,77
21 April 2020, 17:00 ,Haryana,254,127,3
21 April 2020, 17:00 ,Himachal Pradesh,39,16,1
21 April 2020, 17:00 ,Jammu and Kashmir,368,71,5
21 April 2020, 17:00 ,Jharkhand,46,0,2
21 April 2020, 17:00 ,Karnataka,415,114,17
21 April 2020, 17:00 ,Kerala,408,291,3
21 April 2020, 17:00 ,Ladakh,18,14,0
21 April 2020, 17:00 ,Madhya Pradesh,1540,127,76
21 April 2020, 17:00 ,Maharashtra,4669,572,232
21 April 2020, 17:00 ,Manipur,2,2,0
21 April 2020, 17:00 ,Meghalaya,11,0,1
21 April 2020, 17:00 ,Mizoram,1,0,0
21 April 2020, 17:00 ,Nagaland,0,0,0
21 April 2020, 17:00 ,Odisha,74,24,1
21 April 2020, 17:00 ,Puducherry,7,3,0
21 April 2020, 17:00 ,Punjab,245,39,16
21 April 2020, 17:00 ,Rajasthan,1576,205,25
21 April 2020, 17:00 ,Tamil Nadu,1520,457,17
21 April 2020, 17:00 ,Telengana,919,190,23
21 April 2020, 17:00 ,Tripura,2,1,0
21 April 2020, 17:00 ,Uttarakhand,46,18,0
21 April 2020, 17:00 ,Uttar Pradesh,1294,140,20
21 April 2020, 17:00 ,West Bengal,392,73,12
